Year,Season,Month,Name,AcresBurned,Counties,CrewsInvolved,Dozers,Engines
2013,Summer,Jul,Mountain Fire,27531,Riverside,NA,NA,NA
2013,Summer,Aug,Silver Fire,20292,Riverside,63,20,201
2013,Spring,May,Summit Fire,3166,Riverside,36,5,62
2013,Summer,Aug,Falls Fire,1383,Riverside,NA,NA,NA
2013,Spring,May,Gorgonio Fire,510,Riverside,NA,NA,NA
2013,Winter,Feb,Jurupa Fire,311,Riverside,NA,NA,NA
2013,Summer,Jul,Redlands Fire,150,Riverside,NA,NA,NA
2013,Spring,May,Smiley Fire,124,Riverside,NA,NA,NA
2013,Spring,May,Water Fire,90,Riverside,NA,NA,NA
2013,Summer,Aug,Tram Fire,60,Riverside,NA,NA,NA
2013,Summer,Aug,Relay Fire,60,Riverside,NA,NA,NA
2013,Summer,Jun,Viper Fire,42,Riverside,NA,NA,NA
2013,Summer,Aug,Pierce Fire,40,Riverside,NA,NA,NA
2013,Summer,Jul,Heacock Fire,40,Riverside,NA,NA,NA
2013,Summer,Jun,Palmyrita Fire,40,Riverside,NA,NA,NA
2013,Spring,May,54 Fire,40,Riverside,NA,1,19
2013,Spring,May,Cherry Fire,25,Riverside,NA,NA,NA
2013,Summer,Jul,Gilman Fire,15,Riverside,NA,NA,NA
2013,Summer,Jun,Hathaway Fire,0,Riverside,NA,NA,NA
2014,Spring,Mar,Pierce Fire,350,Riverside,NA,NA,NA
2014,Fall,Sep,Interstate Fire,100,Riverside,NA,NA,NA
2014,Summer,Jul,Sabina Fire,78,Riverside,NA,NA,NA
2014,Spring,Mar,Van Buren Fire,57,Riverside,NA,NA,NA
2014,Summer,Jun,Bogart Fire,31,Riverside,1,NA,1
2014,Summer,Jun,Santa Fire,14,Riverside,NA,NA,NA
2015,Spring,Apr,Highway Fire,1049,Riverside,3,NA,4
2015,Summer,Aug,Anza Fire,543,Riverside,NA,NA,NA
2015,Summer,Jul,Merwin Fire,150,Riverside,NA,NA,NA
2015,Summer,Jun,Harrison Fire,80,Riverside,NA,NA,NA
2015,Summer,Jun,Grapefruit Fire,60,Riverside,NA,NA,NA
2015,Summer,Jun,Snow Fire,25,Riverside,NA,NA,NA
2015,Summer,Jul,Spider Fire,21,Riverside,2,3,11
2016,Summer,Aug,Bogart Fire,1470,Riverside,NA,NA,NA
2016,Summer,Jul,Briggs Fire,173,Riverside,NA,NA,NA
2016,Summer,Jun,Temecula Fire,139,Riverside,NA,NA,NA
2016,Summer,Aug,Evergreen Fire,40,Riverside,NA,NA,NA
2017,Summer,Jun,Manzanita Fire,6309,Riverside,NA,NA,NA
2017,Fall,Sep,Palmer Fire,3874,Riverside,8,2,34
2017,Spring,Apr,Opera Fire,1350,Riverside,NA,NA,NA
2017,Summer,Aug,Blaine Fire,1044,Riverside,NA,NA,NA
2017,Fall,Oct,Wildomar Fire,866,Riverside,NA,NA,NA
2017,Summer,Aug,Mias Fire,545,Riverside,NA,NA,NA
2017,Winter,Dec,Liberty Fire,300,Riverside,NA,NA,NA
2017,Summer,Jul,Eagle Fire,205,Riverside,NA,NA,NA
2017,Summer,Jul,Rose Fire,200,Riverside,NA,NA,NA
2017,Summer,Aug,Hills Fire,168,Riverside,NA,NA,NA
2017,Summer,Jun,Smiley Fire,153,Riverside,NA,NA,NA
2017,Summer,Aug,Stewart Fire,122,Riverside,NA,NA,NA
2017,Spring,May,Lamb Fire,120,Riverside,NA,NA,NA
2017,Summer,Jun,Canyon Fire,105,Riverside,NA,NA,NA
2017,Summer,Aug,Reed Fire,92,Riverside,NA,NA,NA
2017,Summer,Aug,Marlborough Fire,85,Riverside,NA,NA,NA
2017,Summer,Jul,Ellis Fire,72,Riverside,NA,NA,NA
2017,Summer,Jul,Placentia Fire,63,Riverside,NA,NA,NA
2017,Fall,Oct,Extension Fire,50,Riverside,NA,NA,NA
2017,Summer,Jul,Lago Fire,50,Riverside,NA,NA,NA
2017,Spring,May,Serenas Fire,48,Riverside,NA,NA,NA
2017,Summer,Aug,Canyon Fire,46,Riverside,NA,NA,NA
2017,Winter,Dec,Riverbottom Fire,45,Riverside,NA,NA,NA
2017,Winter,Dec,Riverdale Fire,40,Riverside,NA,NA,NA
2017,Fall,Nov,Palm Fire,40,Riverside,NA,NA,NA
2017,Fall,Sep,Melba Fire,35,Riverside,NA,NA,NA
2017,Summer,Jul,Jurupa Fire,35,Riverside,NA,NA,NA
2017,Spring,May,Smiley Fire,35,Riverside,NA,NA,NA
2017,Fall,Sep,Ellie Fire,34,Riverside,NA,NA,NA
2017,Summer,Jul,Christmas Fire,33,Riverside,NA,NA,NA
2017,Summer,Jun,Valley Fire,33,Riverside,NA,NA,NA
2017,Summer,Jul,Washington Fire,32,Riverside,NA,NA,NA
2017,Summer,Jul,Timber Fire,30,Riverside,NA,NA,NA
2017,Summer,Jun,Nuevo Fire,28,Riverside,NA,NA,NA
2017,Summer,Jun,Vernon Fire,27,Riverside,NA,NA,NA
2017,Summer,Jun,Trellis Fire,26,Riverside,NA,NA,NA
2017,Summer,Jun,Fairview Fire,26,Riverside,NA,NA,NA
2017,Fall,Oct,Portola Fire,23,Riverside,NA,NA,NA
2017,Summer,Jun,Reed Fire,20,Riverside,NA,NA,NA
2017,Winter,Dec,Longhorn Fire,19,Riverside,NA,NA,NA
2017,Summer,Aug,Nuevo Fire,19,Riverside,NA,NA,NA
2017,Spring,May,Canyon Fire,17,Riverside,NA,NA,NA
2017,Spring,Apr,66 Fire,15,Riverside,NA,NA,NA
2017,Spring,May,Moraga Fire,14,Riverside,NA,NA,NA
2017,Spring,Apr,Jameson Fire,12,Riverside,NA,NA,NA
2017,Summer,Jul,Lisa Fire,11,Riverside,NA,NA,NA
2017,Summer,Jul,Navajo Fire,10,Riverside,NA,NA,NA
2017,Summer,Jul,Canyon Fire,10,Riverside,NA,NA,NA
2017,Summer,Jun,Lambs Fire,10,Riverside,NA,NA,NA
2017,Summer,Jun,Springs Fire,10,Riverside,NA,NA,NA
2017,Summer,Jun,Shirleon Fire,10,Riverside,NA,NA,NA
2017,Spring,May,Moreno Fire,10,Riverside,NA,NA,NA
2018,Summer,Jul,Cranston Fire,13139,Riverside,NA,NA,NA
2018,Spring,May,Patterson Fire,1261,Riverside,NA,NA,NA
2018,Summer,Jul,Skyline Fire,282,Riverside,NA,NA,NA
2018,Summer,Jul,Ribbon Fire,205,Riverside,NA,NA,NA
2018,Summer,Jun,Euclid Fire,154,Riverside,NA,NA,NA
2018,Spring,Apr,Main Fire,73,Riverside,NA,NA,NA
2018,Spring,May,Tornado Fire,70,Riverside,NA,NA,NA
2018,Summer,Jul,Benton Fire,63,Riverside,NA,NA,NA
2018,Summer,Jul,Martinez Fire,40,Riverside,NA,NA,NA
2018,Summer,Aug,Winchester Fire,36,Riverside,NA,NA,NA
2018,Summer,Aug,Terra Fire,35,Riverside,NA,NA,NA
2018,Summer,Aug,Country Fire,32,Riverside,NA,NA,NA
2018,Summer,Jul,Sobrante Fire,30,Riverside,NA,NA,NA
2018,Fall,Sep,Soboba Fire,25,Riverside,NA,NA,NA
2018,Summer,Aug,Land Fire,23,Riverside,NA,NA,NA
2018,Spring,Apr,Meadow Fire,21,Riverside,NA,NA,NA
2018,Summer,Jun,Bridle Fire,20,Riverside,NA,NA,NA
2018,Spring,Apr,Lago Fire,18,Riverside,NA,NA,NA
2018,Summer,Jun,Ethanac Fire,17,Riverside,NA,NA,NA
2018,Spring,May,Woodchuck Fire,15,Riverside,NA,NA,NA
2018,Spring,Apr,Tyler Fire,15,Riverside,2,1,18
2018,Summer,Jun,Grande Fire,11,Riverside,NA,NA,NA
2018,Summer,Aug,Keller Fire,10,Riverside,NA,NA,NA
2018,Summer,Jun,Jardin Fire,10,Riverside,NA,NA,NA
2018,Spring,May,70th Fire,10,Riverside,NA,NA,NA
2019,Fall,Oct,Sandalwood Fire,1011,Riverside,10,NA,17
2019,Fall,Oct,Hill Fire,494,Riverside,5,2,14
2019,Fall,Oct,Wolf Fire,75,Riverside,NA,NA,NA
2019,Summer,Aug,Sage Fire,12,Riverside,NA,NA,NA
2019,Fall,Sep,Tenaja,1926,Riverside,0,1,1
2019,Summer,Jun,Jerry Fire,525,Riverside,NA,NA,NA
2019,Fall,Sep,Horseshoe Fire,520,Riverside,8,2,34
2019,Fall,Oct,Reche Fire,350,Riverside,NA,NA,NA
2019,Fall,Oct,46 Fire,328,Riverside,NA,NA,NA
2019,Fall,Sep,Sycamore Fire,250,Riverside,NA,NA,NA
2019,Summer,Jun,Wolf Fire,214,Riverside,NA,NA,NA
2019,Fall,Sep,Bautista Fire,167,Riverside,NA,NA,NA
2019,Spring,May,Shady Fire,130,Riverside,NA,NA,NA
2019,Fall,Sep,Kennedy Fire,98,Riverside,9,2,17
2019,Summer,Jul,Orange fire,96,Riverside,NA,NA,NA
2019,Summer,Aug,Toro Fire,94,Riverside,NA,NA,NA
2019,Summer,Jul,Meadow Fire,81,Riverside,NA,NA,NA
2019,Summer,Aug,Ivy Fire,80,Riverside,NA,NA,NA
2019,Summer,Jul,Lincoln Fire,80,Riverside,NA,NA,NA
2019,Spring,May,66 Fire,55,Riverside,NA,NA,NA
2019,Spring,May,Diversion Fire,45,Riverside,NA,NA,NA
2019,Fall,Sep,Redwood Fire,34,Riverside,NA,NA,NA
2019,Summer,Aug,Yucca Fire,34,Riverside,NA,NA,NA
2019,Spring,Apr,Girasol Fire,30,Riverside,NA,NA,NA
2019,Spring,May,Foothill Fire,26,Riverside,NA,NA,NA
2019,Summer,Aug,Radio Fire,20,Riverside,NA,NA,NA
2019,Summer,Jul,Gibbel Fire,20,Riverside,NA,NA,NA
2019,Summer,Jun,Nuevo Fire,20,Riverside,NA,NA,NA
2019,Fall,Nov,Sobrante Fire,19,Riverside,NA,NA,NA
2019,Fall,Sep,Warren Fire,19,Riverside,NA,NA,NA
2019,Fall,Sep,Bailey Fire,10,Riverside,NA,NA,NA
2019,Fall,Oct,Eagle Fire,9,Riverside,NA,NA,NA
2019,Fall,Oct,Johnson Fire,NA,Riverside,NA,NA,NA
