"sport","won"
"boxing","blue"
"tae kwon do","blue"
"Greco-Roman wrestling","red"
"boxing","blue"
"boxing","blue"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","red"
"freestyle wrestling","blue"
"boxing","red"
"freestyle wrestling","blue"
"Greco-Roman wrestling","red"
"boxing","blue"
"boxing","blue"
"tae kwon do","blue"
"boxing","blue"
"tae kwon do","blue"
"boxing","red"
"boxing","blue"
"Greco-Roman wrestling","blue"
"boxing","blue"
"boxing","blue"
"boxing","red"
"tae kwon do","blue"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"freestyle wrestling","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","blue"
"tae kwon do","red"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"Greco-Roman wrestling","blue"
"Greco-Roman wrestling","red"
"boxing","blue"
"freestyle wrestling","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"tae kwon do","blue"
"freestyle wrestling","red"
"boxing","red"
"tae kwon do","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","blue"
"Greco-Roman wrestling","blue"
"freestyle wrestling","red"
"boxing","red"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"tae kwon do","blue"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"freestyle wrestling","blue"
"tae kwon do","red"
"tae kwon do","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"freestyle wrestling","red"
"boxing","red"
"freestyle wrestling","red"
"tae kwon do","red"
"Greco-Roman wrestling","blue"
"boxing","red"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","red"
"freestyle wrestling","blue"
"freestyle wrestling","blue"
"Greco-Roman wrestling","red"
"boxing","red"
"boxing","blue"
"boxing","blue"
"Greco-Roman wrestling","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","blue"
"tae kwon do","red"
"boxing","blue"
"freestyle wrestling","blue"
"Greco-Roman wrestling","red"
"Greco-Roman wrestling","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"tae kwon do","blue"
"boxing","blue"
"tae kwon do","red"
"boxing","blue"
"Greco-Roman wrestling","blue"
"freestyle wrestling","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"freestyle wrestling","blue"
"freestyle wrestling","blue"
"boxing","red"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"freestyle wrestling","red"
"tae kwon do","red"
"boxing","blue"
"boxing","blue"
"tae kwon do","red"
"freestyle wrestling","blue"
"freestyle wrestling","red"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","blue"
"boxing","blue"
"boxing","blue"
"Greco-Roman wrestling","red"
"boxing","red"
"boxing","blue"
"Greco-Roman wrestling","red"
"boxing","red"
"Greco-Roman wrestling","red"
"boxing","blue"
"Greco-Roman wrestling","red"
"Greco-Roman wrestling","blue"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"tae kwon do","red"
"boxing","red"
"boxing","red"
"boxing","red"
"tae kwon do","blue"
"freestyle wrestling","red"
"boxing","blue"
"boxing","red"
"Greco-Roman wrestling","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"tae kwon do","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","red"
"freestyle wrestling","red"
"tae kwon do","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"tae kwon do","red"
"tae kwon do","red"
"boxing","blue"
"boxing","blue"
"boxing","blue"
"Greco-Roman wrestling","blue"
"tae kwon do","red"
"freestyle wrestling","blue"
"tae kwon do","blue"
"Greco-Roman wrestling","blue"
"freestyle wrestling","blue"
"tae kwon do","red"
"boxing","red"
"boxing","red"
"tae kwon do","red"
"tae kwon do","red"
"boxing","blue"
"boxing","blue"
"freestyle wrestling","red"
"boxing","blue"
"freestyle wrestling","red"
"boxing","red"
"freestyle wrestling","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","red"
"tae kwon do","blue"
"boxing","blue"
"freestyle wrestling","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"tae kwon do","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","red"
"boxing","blue"
"boxing","red"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","red"
"Greco-Roman wrestling","red"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","red"
"boxing","blue"
"tae kwon do","red"
"boxing","blue"
"tae kwon do","blue"
"boxing","blue"
"boxing","red"
"boxing","blue"
"Greco-Roman wrestling","red"
"boxing","red"
"boxing","red"
"Greco-Roman wrestling","red"
"boxing","red"
"boxing","red"
"boxing","red"
"boxing","blue"
"boxing","blue"
"freestyle wrestling","blue"
"boxing","blue"
"boxing","blue"
"boxing","red"
"boxing","blue"
"boxing","red"
"boxing","red"
"boxing","red"
"tae kwon do","red"
"boxing","red"
"boxing","blue"
"boxing","red"
