Year,Season,Month,Name,AcresBurned,Counties,CrewsInvolved,Dozers,Engines
2013,Summer,Aug,Rim Fire,257314,Tuolumne,NA,NA,NA
2013,Spring,May,Powerhouse Fire,30274,Los Angeles,NA,NA,NA
2013,Summer,Jul,Mountain Fire,27531,Riverside,NA,NA,NA
2013,Summer,Aug,American Fire,27440,Placer,NA,NA,NA
2013,Spring,May,Springs Fire,24251,Ventura,47,8,117
2013,Summer,Jul,Aspen Fire,22992,Fresno,NA,NA,NA
2013,Summer,Aug,Silver Fire,20292,Riverside,63,20,201
2013,Summer,Jul,Salmon River Complex,14754,Siskiyou,NA,NA,NA
2013,Summer,Aug,Corral Complex,12503,Humboldt,NA,NA,NA
2013,Summer,Aug,Deer Fire,11429,Tehama,30,3,36
2013,Fall,Sep,Clover Fire,8073,Shasta,12,3,30
2013,Summer,Jul,Chariot Fire,7055,San Diego,56,24,183
2013,Spring,May,Panther Fire,6965,Tehama,53,22,131
2013,Spring,May,Grand Fire,4346,Kern,29,1,34
2013,Fall,Nov,McCabe Fire,3505,Sonoma,8,NA,5
2013,Spring,May,Summit Fire,3166,Riverside,36,5,62
2013,Fall,Sep,Morgan Fire,3111,Contra Costa,8,5,3
2013,Spring,May,San Felipe Fire,2781,San Diego,33,25,73
2013,Summer,Aug,Swedes Fire,2462,Butte,33,28,95
2013,Fall,Oct,DeLuz Fire,2236,San Diego,NA,NA,NA
2013,Summer,Aug,Fish Fire,2060,Tulare,NA,NA,NA
2013,Spring,May,White Fire,1984,Santa Barbara,NA,NA,NA
2013,Summer,Jun,Carstens Fire,1708,Mariposa,2,NA,NA
2013,Summer,Aug,Falls Fire,1383,Riverside,NA,NA,NA
2013,Spring,May,General Fire,1271,San Diego,54,27,42
2013,Summer,Aug,Power Fire,1070,Tuolumne,NA,NA,NA
2013,Winter,Dec,Pfeiffer Fire,917,Monterey,NA,NA,NA
2013,Summer,Aug,Shirley Fire,794,Kern,NA,NA,NA
2013,Summer,Jul,Rancho Fire,712,Kern,20,20,37
2013,Spring,May,Lake Fire,712,Los Angeles,NA,NA,NA
