Species,Diameter
Norway_maple,7
honeylocust,13
honeylocust,13
honeylocust,12
Norway_maple,11
honeylocust,7
honeylocust,5
honeylocust,10
Norway_maple,11
honeylocust,6
honeylocust,6
honeylocust,14
honeylocust,9
honeylocust,3
honeylocust,13
Norway_maple,11
Norway_maple,10
honeylocust,16
honeylocust,10
honeylocust,5
honeylocust,11
honeylocust,11
honeylocust,12
honeylocust,3
Norway_maple,8
honeylocust,7
Norway_maple,11
Norway_maple,16
honeylocust,14
honeylocust,8
honeylocust,10
honeylocust,14
honeylocust,15
honeylocust,4
Norway_maple,14
honeylocust,8
Norway_maple,6
honeylocust,17
honeylocust,7
Norway_maple,10
honeylocust,17
Norway_maple,10
honeylocust,4
Norway_maple,11
honeylocust,14
honeylocust,6
Norway_maple,8
Norway_maple,10
honeylocust,10
honeylocust,14
Norway_maple,14
honeylocust,2
honeylocust,12
Norway_maple,10
honeylocust,12
Norway_maple,21
Norway_maple,13
honeylocust,5
honeylocust,6
honeylocust,22
Norway_maple,16
honeylocust,11
Norway_maple,18
honeylocust,5
honeylocust,5
honeylocust,5
Norway_maple,24
honeylocust,10
Norway_maple,12
honeylocust,12
honeylocust,12
Norway_maple,9
honeylocust,9
Norway_maple,11
honeylocust,13
honeylocust,12
honeylocust,7
Norway_maple,22
honeylocust,15
honeylocust,12
honeylocust,7
Norway_maple,16
honeylocust,11
Norway_maple,9
Norway_maple,15
honeylocust,8
