ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
LC08_13,Wet,Sourroque,LC,Lacourt,LC08,3.743,57.484,36,2.342,7.57,5.02,489,0.211,6.063,146.31
AT07_14,Wet,Sourroque,AT,Ates,AT07,3.993,52.902,18,0.739,1.52,23.026,750,0.422,13.803,6.34
TC09_13,Wet,Montoulieu,TC,Tournac,TC09,3.664,62.21,23,5.039,2.85,17.544,1021,0.535,25.54,80.538
ML12_02,Dry,Montoulieu,ML,Montoulieu,ML12,3.429,51.691,23,1.613,1.902,16.824,466,0.126,21.386,82.073
LC09_14,Wet,Sourroque,LC,Lacourt,LC09,4.089,62.305,18,3.211,2.2,16.818,489,0.211,6.063,146.31
PN07_05,Dry,Axat,PN,Paounias,PN07,1.966,42.575,20,0,0.938,15.991,909,0.186,16.179,113.962
LC07_04,Dry,Sourroque,LC,Lacourt,LC07,3.299,45.17,16,3.043,1.287,15.54,489,0.211,6.063,146.31
AT02_09,Normal,Sourroque,AT,Ates,AT02,3.973,66.848,25,1.808,1.79,15.084,750,0.422,13.803,6.34
SX08_01,Dry,Montoulieu,SX,Seignaux,SX08,3.242,53.37,21,2.005,1.194,15.075,840,0.729,23.294,134.076
PN05_04,Dry,Axat,PN,Paounias,PN05,2.894,49.089,18,4.214,1.14,14.035,909,0.186,16.179,113.962
ML12_05,Dry,Montoulieu,ML,Montoulieu,ML12,3.216,49.619,22,1.357,1.303,13.814,466,0.126,21.386,82.073
PN12_04,Dry,Axat,PN,Paounias,PN12,3.607,63.08,23,2.819,1.485,13.468,909,0.186,16.179,113.962
PN03_02,Dry,Axat,PN,Paounias,PN03,2.568,44.47,21,1.582,0.968,13.43,909,0.186,16.179,113.962
SQ06_03,Dry,Sourroque,SQ,Sourroque,SQ06,2.651,60.829,22,2.205,0.689,13.062,927,0.236,23.743,33.158
LC12_01,Dry,Sourroque,LC,Lacourt,LC12,3.547,43.022,20,3.544,1.384,13.006,489,0.211,6.063,146.31
PN08_01,Dry,Axat,PN,Paounias,PN08,2.619,42.909,25,2.631,1.311,12.967,909,0.186,16.179,113.962
LC13_05,Dry,Sourroque,LC,Lacourt,LC13,2.291,51.299,19,2.16,1.004,12.948,489,0.211,6.063,146.31
TC02_01,Dry,Montoulieu,TC,Tournac,TC02,2.755,39.79,23,1.777,1.008,12.897,1021,0.535,25.54,80.538
LC13_01,Dry,Sourroque,LC,Lacourt,LC13,1.885,49.171,22,1.178,0.944,12.712,489,0.211,6.063,146.31
SQ03_04,Dry,Sourroque,SQ,Sourroque,SQ03,2.378,56.012,16,2.647,0.945,12.698,927,0.236,23.743,33.158
AT07_05,Dry,Sourroque,AT,Ates,AT07,3.2747,54.017,20,0.745,0.963,12.461,750,0.422,13.803,6.34
BV14_03,Dry,Montoulieu,BV,Belveze,BV14,3.118,54.015,18,2.093,1.448,12.431,1261,0.825,13.681,138.27
TC15_01,Dry,Montoulieu,TC,Tournac,TC15,3.102,49.869,20,2.162,1.371,12.4,1021,0.535,25.54,80.538
BV07_02,Dry,Montoulieu,BV,Belveze,BV07,2.378,43.827,24,1.367,1.055,12.322,1261,0.825,13.681,138.27
ML07_14,Wet,Montoulieu,ML,Montoulieu,ML07,3.75,61.898,19,1.834,1.95,12.308,466,0.126,21.386,82.073
PN12_05,Dry,Axat,PN,Paounias,PN12,3.826,42.628,21,2.215,1.707,12.302,909,0.186,16.179,113.962
SX06_02,Dry,Montoulieu,SX,Seignaux,SX06,3.208,55.816,25,2.568,1.141,12.27,840,0.729,23.294,134.076
TC04_02,Dry,Montoulieu,TC,Tournac,TC04,2.749,55.806,16,2.492,1.245,12.048,1021,0.535,25.54,80.538
SX13_04,Dry,Montoulieu,SX,Seignaux,SX13,3.582,59.653,23,2.732,1.251,11.99,840,0.729,23.294,134.076
SX08_04,Dry,Montoulieu,SX,Seignaux,SX08,2.052,49.05,21,1.452,1.001,11.988,840,0.729,23.294,134.076
BV06_02,Dry,Montoulieu,BV,Belveze,BV06,1.669,53.8,15,1.665,1.002,11.976,1261,0.825,13.681,138.27
PN05_03,Dry,Axat,PN,Paounias,PN05,3.089,49.942,20,3.076,1.336,11.976,909,0.186,16.179,113.962
SQ06_05,Dry,Sourroque,SQ,Sourroque,SQ06,1.992,46.451,22,2.251,0.672,11.905,927,0.236,23.743,33.158
BV13_01,Dry,Montoulieu,BV,Belveze,BV13,2.827,48.531,27,1.506,1.35,11.852,1261,0.825,13.681,138.27
SQ07_01,Dry,Sourroque,SQ,Sourroque,SQ07,2.8995,47.615,28,1.273,0.848,11.792,927,0.236,23.743,33.158
SQ03_02,Dry,Sourroque,SQ,Sourroque,SQ03,2.752,53.601,22,1.71,1.446,11.757,927,0.236,23.743,33.158
TC04_01,Dry,Montoulieu,TC,Tournac,TC04,3.446,58.945,27,2.763,1.705,11.73,1021,0.535,25.54,80.538
ML15_03,Dry,Montoulieu,ML,Montoulieu,ML15,2.5621,53.154,23,0.915,0.598,11.706,466,0.126,21.386,82.073
LC07_02,Dry,Sourroque,LC,Lacourt,LC07,4.001,46.607,21,3.057,1.563,11.516,489,0.211,6.063,146.31
TP10_04,Dry,Sourroque,TP,Toupi,TP10,2.869,44.725,18,2.277,0.956,11.506,1184,0.985,8.623,119.055
PN03_05,Dry,Axat,PN,Paounias,PN03,2.311,47.829,17,1.45,1.393,11.486,909,0.186,16.179,113.962
