location,aam.length
tillamook,0.0571
tillamook,0.0813
tillamook,0.0831
tillamook,0.0976
tillamook,0.0817
tillamook,0.0859
tillamook,0.0735
tillamook,0.0659
tillamook,0.0923
tillamook,0.0836
newport,0.0873
newport,0.0662
newport,0.0672
newport,0.0819
newport,0.0749
newport,0.0649
newport,0.0835
newport,0.0725
petersburg,0.0974
petersburg,0.1352
petersburg,0.0817
petersburg,0.1016
petersburg,0.0968
petersburg,0.1064
petersburg,0.105
magadan,0.1033
magadan,0.0915
magadan,0.0781
magadan,0.0685
magadan,0.0677
magadan,0.0697
magadan,0.0764
magadan,0.0689
tvarminne,0.0703
tvarminne,0.1026
tvarminne,0.0956
tvarminne,0.0973
tvarminne,0.1039
tvarminne,0.1045
