major,standing
ASCI,Sophomore
BIO,Sophomore
BCHM,Senior
BIO,Junior
NUTR,Sophomore
BIO,Sophomore
CHEM,Sophomore
ASCI,Sophomore
ASCI,Sophomore
ITP,Freshman
BIO,Sophomore
PLSC,Junior
FDSC,Junior
BIO,Sophomore
ASCI,Sophomore
BIO,Sophomore
ASCI,Sophomore
CSC,Junior
PHIL,Sophomore
AGB,Sophomore
BIO,Junior
HLTH,Sophomore
ASCI,Sophomore
BIO,Junior
NUTR,Senior
BIO,Sophomore
ASCI,Freshman
ASCI,Sophomore
PLSC,Junior
ASCI,Junior
WVIT,Junior
BIO,Sophomore
ASCI,Junior
ASCI,Sophomore
BUS,Sophomore
BIO,Sophomore
ASCI,Sophomore
BUS,Sophomore
PLSC,Sophomore
MSCI,Junior
ASCI,Sophomore
ENVM,Freshman
ASCI,Senior
ASCI,Sophomore
ASCI,Sophomore
AC,Sophomore
WVIT,Sophomore
ASCI,Sophomore
ASCI,Sophomore
ENGL,Sophomore
LARC,Senior
ASCI,Sophomore
PLSC,Sophomore
ASCI,Sophomore
ASCI,Freshman
ASCI,Sophomore
PHYS,Sophomore
BIO,Sophomore
ASCI,Sophomore
ASCI,Senior
MSCI,Sophomore
NUTR,Junior
BCHM,Sophomore
FDSC,Sophomore
ASCI,Sophomore
KINE,Freshman
ASCI,Sophomore
ASCI,Sophomore
ENVM,Sophomore
KINE,Senior
